ID,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32
100899,-2.267171674,-0.05328142,0.148550594,-0.082592246,-0.167139029,-0.087461432,-0.101414098,0.104166237,-0.294896106,0.039666327,0.156415566,-0.155475353,0.091557148,-0.143022384,-0.167634991,-0.066999419,0.017935503,0.3449904,-0.268924607,-0.022823172,-0.153826006,-0.094658445,0.173774007,-0.081586317,-0.031379554,0.359586111,0.241836924,-0.285112577,-0.139772032,-0.019129415,0.316891991,-0.001519394
102011,0.812798783,0.08949586,0.111363236,0.010433207,0.054112725,0.084258187,-0.03315728,0.029837745,0.07415835,0.037304875,-0.051184583,-0.002301147,-0.021876047,0.139149732,-0.060126423,-0.020024395,0.019646701,0.061132236,0.090270054,0.018577947,0.036689111,0.033211725,0.013219227,-0.036965798,0.024304486,0.035167436,-0.016676714,0.021706345,0.046330093,-0.023191389,0.006234527,-0.034890135
102212,-0.197917094,-0.203362055,-0.038593703,0.119828406,-0.294070041,0.049302585,-0.070220722,-0.334542523,0.269130122,0.186011015,-0.32886082,0.0570437,-1.173175918,0.665877653,-0.533586238,0.390933911,0.006865676,0.154778174,-0.882657764,0.591324971,0.161339366,-0.440774175,-0.024722261,0.136477071,0.220268482,0.149552026,-0.249270609,-0.005488774,0.185675362,-0.242306596,0.313327714,0.026604474
103693,0.17267875,0.005035463,0.134954366,0.071295576,0.022995279,-0.067687159,-0.118731466,0.021792678,0.191608771,0.133605696,-0.18261748,0.094244431,-0.112498015,0.04398836,-0.00660318,-0.001059603,-0.046224873,0.139614605,-0.061313476,0.285210682,-0.063052626,0.23153033,0.056795972,0.107010002,0.128647529,-0.221830594,0.041169535,-0.100008039,-0.124657781,-0.170473133,0.059776125,-0.138485207
103939,-2.594902906,-0.162531166,0.31370566,0.276500372,-0.112240375,-0.387767895,-0.460224737,0.053403802,0.369501883,-1.156290334,-0.157698184,0.581188345,0.032122257,-0.140847954,-0.469601752,-0.248766355,0.358661775,-0.350628541,0.195832448,-0.670851504,-1.094550104,0.070842463,0.062678647,0.37198816,0.409682462,-0.595725391,1.269409266,0.296234929,-0.340268258,0.989419653,-0.374812406,0.647212391
104268,6.076651713,-0.022165696,0.060786483,0.119768543,-0.066776318,-0.285750806,0.077038724,-0.103860822,-0.259476473,0.222643733,0.113608387,-0.140248133,-0.086304297,0.141551577,-0.022478067,0.207518195,-0.144099621,-0.072666779,-0.004234757,0.201452612,-0.263401717,-0.031790548,-0.130691865,-0.14115782,-0.366385779,0.016964229,-0.064038858,0.120258681,0.033151926,0.132024295,0.032410582,0.031945235
104384,-2.25100429,-0.168619937,0.425612968,-0.247581882,0.192159523,0.015795766,-0.279989719,0.262239701,-0.098679679,-0.321297585,-0.216819694,0.320056831,0.124896008,0.078917329,-0.348248381,0.171729707,-0.182453706,-0.322723081,0.029242049,-0.167001079,0.083387957,0.134519652,-0.153699391,0.0480874,-0.29639365,-0.251956587,-0.132201879,0.123450968,-0.062325348,0.026036184,-0.051101241,0.265762487
105286,3.127977369,-0.086364423,-0.140711558,-0.075971485,0.056860301,-0.171099275,-0.096010705,-0.039139344,0.058547226,0.092081016,-0.020568971,-0.139414106,0.166269794,0.244410437,0.115898444,-0.014923402,0.037599275,-0.061369974,-0.043778817,-0.082060118,-0.006586175,-0.07789756,0.003750259,-0.05830431,-0.117130379,-0.026476494,0.040563989,0.023688092,0.053469272,-0.279382904,-0.048439427,0.285907438
105513,2.872780494,0.132535204,-0.096747296,-0.168608346,-0.117791366,-0.111757065,-0.026818487,-0.009756044,-0.122448414,0.079321413,0.193600017,-0.16791558,-0.047435461,0.114208543,0.127118587,-0.002309887,-0.061277971,0.061501344,0.061292461,-0.017804114,0.063666616,0.07904295,0.005007813,0.051028932,0.016290862,0.042807251,0.165543794,-0.081454551,0.086822642,-0.088756562,-0.114360619,0.001156257
107700,-2.798831641,-0.045426249,-0.034261649,0.284092475,0.075546197,0.315257459,0.079576584,-0.201006493,-0.246700298,-0.512798435,-0.171780255,-0.043820584,-0.185036425,0.066591086,0.225908127,0.209397483,0.485285666,0.666701458,-0.199688276,0.148845181,-0.020178271,0.057561159,-0.445983813,0.050891623,0.011291585,-0.10490186,0.066543379,-0.15996043,0.018698683,0.298543271,0.04361596,0.028508472
